pin1	pin2	pin3	pin4	pin5
23.5827	16.1491	1.2617	20.3581	7.42109
23.7561	16.3031	1.27037	20.5545	7.48299
23.9281	16.4561	1.27905	20.7494	7.54979
24.0988	16.608	1.28775	20.9428	7.62198
24.2681	16.7587	1.29646	21.1347	7.70006
24.4361	16.9083	1.3052	21.3251	7.78458
24.6028	17.0569	1.31396	21.5141	7.87608
24.7681	17.2043	1.32275	21.7017	7.9751
24.9322	17.3507	1.33157	21.8878	8.08217
25.0949	17.496	1.34042	22.0724	8.19779
25.2564	17.6402	1.34931	22.2556	8.32239
25.4166	17.7833	1.35824	22.4374	8.45632
25.5755	17.9253	1.36722	22.6178	8.59984
25.7331	18.0663	1.37624	22.7968	8.75305
25.8895	18.2063	1.38532	22.9744	8.91591
26.0447	18.3452	1.39445	23.1506	9.08822
26.1986	18.483	1.40364	23.3254	9.26964
26.3513	18.6199	1.4129	23.4989	9.45965
26.5028	18.7557	1.42223	23.6709	9.65766
26.6531	18.8904	1.43164	23.8417	9.86295
26.8022	19.0242	1.44112	24.011	10.0748
26.9502	19.157	1.45069	24.179	10.2923
27.0969	19.2887	1.46035	24.3457	10.5149
27.2425	19.4195	1.4701	24.511	10.7417
27.3869	19.5493	1.47996	24.6751	10.972
27.5302	19.678	1.48992	24.8377	11.2052
27.6724	19.8059	1.5	24.9991	11.4408
27.8134	19.9327	1.5102	25.1592	11.6782
27.9533	20.0586	1.52052	25.3179	11.917
28.0921	20.1836	1.53098	25.4754	12.1568
28.2297	20.3075	1.54158	25.6316	12.3973
28.3663	20.4306	1.55233	25.7864	12.6381
28.5018	20.5527	1.56323	25.94	12.879
28.6362	20.6739	1.5743	26.0923	13.1197
28.7696	20.7942	1.58553	26.2434	13.3601
28.9018	20.9136	1.59695	26.3931	13.6
29.033	21.032	1.60855	26.5416	13.8392
29.1632	21.1496	1.62035	26.6889	14.0776
29.2923	21.2663	1.63236	26.8349	14.3151
29.4204	21.3821	1.64458	26.9796	14.5516
29.5475	21.497	1.65702	27.1231	14.787
29.6736	21.611	1.6697	27.2653	15.0213
29.7986	21.7242	1.68263	27.4064	15.2544
29.9227	21.8365	1.69581	27.5461	15.4862
30.0457	21.948	1.70926	27.6847	15.7167
30.1678	22.0586	1.72298	27.822	15.9459
30.2889	22.1684	1.737	27.958	16.1736
30.409	22.2774	1.75131	28.0929	16.4
30.5282	22.3855	1.76594	28.2265	16.625
30.6464	22.4928	1.78089	28.3589	16.8485
30.7636	22.5994	1.79618	28.4901	17.0706
30.88	22.7051	1.81182	28.6201	17.2912
30.9953	22.81	1.82782	28.7489	17.5104
31.1098	22.9141	1.8442	28.8765	17.728
31.2233	23.0174	1.86097	29.0029	17.9442
31.3359	23.12	1.87815	29.128	18.1589
31.4476	23.2217	1.89574	29.252	18.3721
31.5584	23.3228	1.91377	29.3748	18.5838
31.6683	23.423	1.93224	29.4964	18.794
31.7774	23.5225	1.95118	29.6168	19.0027
31.8855	23.6213	1.97059	29.736	19.2099
31.9928	23.7193	1.9905	29.854	19.4157
32.0992	23.8165	2.01091	29.9709	19.6199
32.2047	23.9131	2.03184	30.0866	19.8227
32.3094	24.0089	2.05331	30.2011	20.024
32.4133	24.104	2.07532	30.3144	20.2239
32.5163	24.1984	2.0979	30.4266	20.4223
32.6184	24.2921	2.12106	30.5375	20.6192
32.7198	24.3851	2.1448	30.6474	20.8147
32.8203	24.4773	2.16915	30.756	21.0088
32.92	24.5689	2.19412	30.8635	21.2014
33.0189	24.6598	2.21971	30.9699	21.3926
33.117	24.7501	2.24594	31.0751	21.5824
33.2142	24.8396	2.27281	31.1792	21.7708
33.3107	24.9285	2.30034	31.2821	21.9578
33.4065	25.0168	2.32854	31.3838	22.1434
33.5014	25.1043	2.3574	31.4845	22.3276
33.5956	25.1913	2.38694	31.5839	22.5105
33.689	25.2775	2.41716	31.6823	22.6919
33.7816	25.3632	2.44806	31.7795	22.8721
33.8735	25.4482	2.47964	31.8757	23.0508
33.9646	25.5325	2.5119	31.9707	23.2283
34.055	25.6163	2.54483	32.0645	23.4044
