NOReflux NOQC,NOReflux QC,Reflux NOQC,Reflux QC
2.05946,2.01668,4.08398,2.85051
2.03883,2.01238,4.08422,2.84924
2.00473,2.00819,4.08471,2.84192
1.97197,2.00411,4.08546,2.84638
1.9408,2.00017,4.08635,2.85033
1.912,1.99638,4.08745,2.8987
1.88606,1.99272,4.08879,2.94742
1.85882,1.98916,4.09039,2.9988
1.84259,1.98566,4.09634,3.0488
1.82852,1.97456,4.10565,3.09476
1.81541,1.96225,4.11521,3.14028
1.80157,1.95205,4.12338,3.17824
1.78693,1.94331,4.13072,3.20722
1.77138,1.93576,4.13705,3.2285
1.75513,1.92927,4.14246,3.24704
1.73843,1.92357,4.14722,3.26312
1.7216,1.91846,4.1519,3.28436
1.70486,1.91368,4.15683,3.29853
1.68842,1.9091,4.16211,3.30917
1.67236,1.90461,4.16947,3.3178
1.65666,1.90019,4.18131,3.32568
1.64133,1.89587,4.19425,3.33557
1.62645,1.8917,4.19684,3.34637
1.61209,1.88776,4.2006,3.35834
1.59828,1.88407,4.20427,3.37068
1.60685,1.85828,4.20891,3.39073
1.61001,1.83586,4.21401,3.40807
1.61284,1.81473,4.21943,3.42502
1.61306,1.79686,4.22502,3.44298
1.61115,1.78231,4.23066,3.46166
1.60726,1.77133,4.2324,3.48127
1.60209,1.74708,4.23638,3.50116
1.61128,1.72411,4.24015,3.52114
1.62132,1.7031,4.2469,3.54131
1.63223,1.68526,4.25528,3.56125
1.64233,1.66663,4.26513,3.57152
1.65044,1.65728,4.27539,3.57839
1.66022,1.65219,4.2858,3.58247
1.65895,1.64875,4.29584,3.58293
1.65549,1.64567,4.30537,3.58254
1.65105,1.6423,4.31371,3.58266
1.64738,1.63855,4.32158,3.58581
1.64447,1.63449,4.32857,3.592
1.64238,1.63032,4.33461,3.60173
1.64088,1.62615,4.33978,3.61085
1.63977,1.6221,4.34428,3.61934
1.63885,1.61825,4.34824,3.62654
1.638,1.61464,4.35178,3.6328
1.63712,1.61123,4.35498,3.63764
1.63615,1.60786,4.3579,3.64124
1.63509,1.60429,4.36054,3.64348
1.63396,1.60024,4.36269,3.64457
1.63271,1.59535,4.36465,3.64459
1.63132,1.58923,4.36672,3.64378
1.62982,1.58159,4.369,3.64223
1.6282,1.59167,4.37157,3.63241
1.62645,1.5979,4.37453,3.62558
1.62472,1.6022,4.37794,3.61798
1.62299,1.60373,4.38171,3.60797
1.6213,1.60305,4.38572,3.59572
1.61966,1.60014,4.39371,3.58119
1.61809,1.61177,4.39946,3.56524
1.61659,1.6232,4.40526,3.5483
1.61517,1.63354,4.40806,3.53054
1.6138,1.64141,4.40924,3.5126
1.61248,1.65058,4.40865,3.49538
1.61123,1.65087,4.40739,3.47961
1.61005,1.64719,4.40518,3.46469
1.609,1.64213,4.40199,3.45088
1.608,1.63693,4.39812,3.43249
1.60705,1.63225,4.39393,3.41873
1.60613,1.62814,4.38868,3.40341
1.60521,1.6245,4.37077,3.38851
1.60429,1.62112,4.35693,3.3739
1.60336,1.61787,4.34678,3.36046
1.60243,1.61463,4.34044,3.34859
1.60147,1.61132,4.33886,3.33829
1.60051,1.60789,4.34084,3.32975
1.59955,1.60438,4.34562,3.32282
1.59861,1.60036,4.3522,3.31722
1.59767,1.59748,4.36058,3.31265
1.59672,1.59655,4.37001,3.30873
1.59576,1.59651,4.37954,3.3051
1.59483,1.59763,4.38891,3.30132
1.59393,1.59995,4.39766,3.29719
1.59307,1.6067,4.40547,3.29275
1.59226,1.61402,4.41206,3.28816
1.59148,1.62218,4.4173,3.2837
1.59073,1.63006,4.42118,3.2795
1.58418,1.63706,4.42375,3.27568
1.58224,1.64295,4.42533,3.27227
1.58369,1.64777,4.42604,3.26924
1.58553,1.6517,4.42103,3.26648
1.58745,1.655,4.41008,3.2635
1.58871,1.65791,4.3944,3.26131
1.58953,1.66065,4.37819,3.26037
1.58673,1.66334,4.36198,3.25958
1.58299,1.66607,4.34634,3.25838
1.57919,1.66888,4.34689,3.25605
1.5758,1.67174,4.36425,3.2582
1.57271,1.6746,4.39319,3.25529
1.56999,1.67744,4.42711,3.25256
1.56755,1.68027,4.47246,3.24855
1.56533,1.68307,4.51406,3.24434
1.56324,1.68582,4.55431,3.23979
1.56122,1.68849,4.59446,3.23499
1.55921,1.69108,4.63074,3.23008
1.55718,1.69358,4.66283,3.2247
1.55509,1.69601,4.69106,3.21876
1.55297,1.69895,4.69781,3.21221
1.55082,1.701,4.70536,3.20506
1.54864,1.70163,4.70325,3.19746
1.54643,1.7023,4.70128,3.1896
1.54419,1.70312,4.69849,3.18188
1.54192,1.70441,4.6987,3.17457
1.53963,1.70607,4.66901,3.16771
1.53732,1.70814,4.64305,3.16098
1.535,1.71055,4.62557,3.15438
1.53269,1.71325,4.61833,3.14783
1.53618,1.71619,4.61905,3.14129
1.53506,1.7194,4.6317,3.13472
1.53057,1.72292,4.65102,3.12821
1.52567,1.72675,4.6794,3.12182
1.52069,1.73093,4.71442,3.11598
1.51639,1.73554,4.75309,3.10954
1.51253,1.74049,4.79069,3.10191
1.51229,1.74561,4.82602,3.09402
1.51297,1.75071,4.85831,3.0863
1.5137,1.75561,4.87233,3.07936
1.514,1.76021,4.86703,3.07338
1.51399,1.76442,4.84809,3.06839
1.51362,1.7682,4.8228,3.06413
1.513,1.77155,4.79652,3.06032
1.51217,1.77448,4.7681,3.05711
1.51125,1.77705,4.73611,3.05497
1.51028,1.7793,4.69955,3.05492
1.50932,1.78129,4.66239,3.05803
1.50841,1.78305,4.62659,3.06425
1.50757,1.7846,4.59241,3.07264
1.50677,1.78599,4.57831,3.08221
1.50604,1.78723,4.56178,3.09215
1.50539,1.78833,4.55387,3.10185
1.50483,1.7893,4.54551,3.11092
1.50435,1.7901,4.53786,3.11911
1.50386,1.79075,4.52743,3.12625
1.50327,1.7912,4.54739,3.13233
1.50256,1.79145,4.56431,3.13759
1.50178,1.79147,4.57369,3.14191
1.50087,1.79125,4.57393,3.14539
1.49988,1.79079,4.56738,3.14806
1.4989,1.79001,4.54994,3.15001
1.49799,1.78888,4.52677,3.15132
1.49718,1.78731,4.50046,3.15017
1.49651,1.78523,4.47338,3.14723
1.49596,1.78253,4.44721,3.14185
1.49551,1.77922,4.42259,3.13617
1.49516,1.77543,4.4003,3.12981
1.49488,1.77134,4.38111,3.12427
1.49466,1.76711,4.36505,3.11934
1.49447,1.76286,4.35229,3.11454
1.49432,1.7587,4.34278,3.10937
1.49417,1.75469,4.33625,3.1036
1.49404,1.75085,4.33249,3.09721
1.49393,1.74717,4.33119,3.09022
1.49382,1.74366,4.33179,3.08259
1.49373,1.74029,4.33388,3.07353
1.49365,1.73705,4.33629,3.06251
1.4936,1.73394,4.3385,3.0501
1.49356,1.73094,4.34059,3.03708
1.49354,1.72805,4.34266,3.0243
1.49354,1.72524,4.34486,3.01225
1.49355,1.72252,4.34724,3.0012
1.49357,1.71988,4.34986,2.99131
1.49361,1.71733,4.35276,2.98259
1.49374,1.71484,4.35607,2.97487
1.49405,1.71241,4.35983,2.96799
1.49454,1.71002,4.36408,2.9618
1.49515,1.70766,4.36867,2.95614
1.49594,1.70533,4.37345,2.95088
1.49684,1.70304,4.37821,2.94593
1.49776,1.70079,4.38278,2.94119
1.49865,1.69859,4.38702,2.93652
1.49945,1.69647,4.39085,2.93374
1.50016,1.69437,4.39425,2.93225
1.50077,1.69227,4.39725,2.93282
1.50131,1.69017,4.39998,2.93348
1.50178,1.6881,4.4023,2.9348
1.50222,1.68607,4.40419,2.93543
1.50263,1.68412,4.40583,2.93572
1.50305,1.68226,4.4074,2.93618
1.50346,1.68051,4.40883,2.93727
1.5039,1.67885,4.41015,2.93911
1.50434,1.6773,4.41125,2.94153
1.5048,1.67601,4.41196,2.94409
1.50527,1.67531,4.41216,2.94633
1.50574,1.67605,4.41175,2.94805
