NOReflux NOQC,NOReflux QC,Reflux NOQC,Reflux QC
0.0646767,0.270888,0.262956,0.330674
0.0646513,0.270828,0.26273,0.330496
0.0646261,0.270764,0.261694,0.330317
0.0646009,0.270698,0.260663,0.330138
0.0645758,0.270639,0.259973,0.32996
0.0645507,0.270583,0.259749,0.329782
0.0645258,0.270524,0.259527,0.329606
0.0645006,0.270465,0.259308,0.329431
0.0644753,0.270406,0.259089,0.329258
0.0644498,0.270348,0.258497,0.329087
0.0644243,0.270291,0.257397,0.328918
0.0643986,0.270234,0.256273,0.32875
0.0643728,0.270179,0.255161,0.328584
0.0643469,0.270124,0.254058,0.328419
0.0643208,0.27007,0.253537,0.328255
0.0642947,0.270016,0.253286,0.328091
0.0642685,0.269888,0.252607,0.327928
0.0642421,0.269738,0.252259,0.327757
0.0642158,0.269569,0.252035,0.327594
0.0641895,0.269451,0.251814,0.327432
0.0641632,0.269405,0.251668,0.32727
0.0641368,0.26936,0.25145,0.327108
0.0641103,0.269313,0.251108,0.326945
0.0640839,0.269265,0.250884,0.326783
0.0640576,0.269215,0.249633,0.326613
0.0640312,0.269164,0.248413,0.326449
0.0640049,0.269111,0.247284,0.326286
0.0639786,0.269058,0.246577,0.326193
0.0639524,0.269004,0.247068,0.325796
0.0639262,0.26895,0.245782,0.325376
0.0638999,0.268897,0.244424,0.325631
0.0638738,0.268844,0.243145,0.325875
0.0638479,0.268791,0.24195,0.325079
0.0638217,0.268739,0.240838,0.324269
0.0637951,0.268687,0.2398,0.323642
0.063769,0.268635,0.238824,0.322744
0.0637429,0.268583,0.237902,0.32239
0.0637166,0.268532,0.237027,0.322162
0.0636903,0.26848,0.236187,0.322028
0.063664,0.268429,0.235368,0.321957
0.0636378,0.268378,0.234565,0.321917
0.0636116,0.268327,0.233763,0.321886
0.0635854,0.268276,0.232958,0.321857
0.0635593,0.268225,0.232144,0.32183
0.0635332,0.268174,0.231319,0.321786
0.0635071,0.267987,0.230481,0.32173
0.063481,0.267792,0.229626,0.32167
0.0634549,0.267596,0.228753,0.321583
0.0634289,0.267402,0.227862,0.32146
0.0634028,0.267211,0.226951,0.321321
0.0633769,0.267175,0.226025,0.321159
0.0633509,0.267134,0.225086,0.321095
0.063325,0.267089,0.224138,0.320963
0.0632991,0.267039,0.223184,0.320836
0.0632733,0.266986,0.22223,0.320722
0.0632475,0.266931,0.221281,0.320635
0.0632218,0.266875,0.22034,0.320579
0.0631961,0.266818,0.219408,0.320533
0.0631704,0.266761,0.218486,0.320499
0.0631448,0.266703,0.217573,0.320624
0.0631192,0.266647,0.216668,0.311005
0.0630936,0.26659,0.215768,0.309642
0.0630681,0.266535,0.214869,0.30833
0.0630426,0.266479,0.213967,0.30704
0.0630172,0.266424,0.21354,0.305789
0.0629918,0.26637,0.213402,0.304592
0.0629664,0.266316,0.213266,0.303457
0.062941,0.266262,0.21313,0.302368
0.0629157,0.266209,0.212838,0.301739
0.0628904,0.266156,0.212691,0.300747
0.0628651,0.266103,0.21341,0.2996
0.0628399,0.266051,0.212154,0.298413
0.0628147,0.265999,0.210889,0.296912
0.0627896,0.265947,0.209716,0.295615
0.0627645,0.265896,0.208578,0.294217
0.0627394,0.265845,0.207491,0.292771
0.0627145,0.265794,0.206437,0.291271
0.0626895,0.265744,0.20543,0.289714
0.0626645,0.265694,0.205198,0.288095
0.0626395,0.265645,0.205059,0.286413
0.0626147,0.265596,0.204923,0.284665
0.0625898,0.265546,0.204789,0.282855
0.062565,0.265496,0.204654,0.280992
0.0625402,0.265447,0.204519,0.278938
0.0625155,0.265398,0.204382,0.276945
0.0624907,0.26535,0.204243,0.27486
0.062466,0.265303,0.204102,0.27282
0.0624414,0.265255,0.203959,0.270847
0.0624168,0.265208,0.203815,0.268926
0.0623922,0.265161,0.203669,0.266632
0.0623676,0.265113,0.203522,0.264809
0.0623431,0.265066,0.203374,0.262981
0.0623186,0.265019,0.203227,0.261205
0.0622942,0.264972,0.20308,0.259491
0.0622698,0.264925,0.202933,0.257829
0.0622455,0.264879,0.202787,0.254907
0.0622212,0.264832,0.202641,0.254542
0.0621969,0.264786,0.202497,0.254203
0.0621726,0.26474,0.202354,0.253891
0.0621484,0.264694,0.201951,0.2536
0.0621242,0.264648,0.20181,0.25333
0.0621001,0.264603,0.201671,0.253075
0.062076,0.264558,0.201537,0.252829
0.0620519,0.264513,0.201396,0.25259
0.062028,0.264468,0.201258,0.252356
0.0620039,0.264424,0.201117,0.252125
0.0619798,0.264379,0.200978,0.2519
0.0619558,0.264335,0.200522,0.25168
0.0619319,0.26429,0.199504,0.251479
0.0619079,0.264245,0.198858,0.253191
0.0618841,0.264201,0.198716,0.253396
0.0618603,0.264157,0.198574,0.253623
0.0618365,0.264114,0.19812,0.254176
0.0618128,0.264071,0.197991,0.25499
0.0617891,0.264028,0.197825,0.255897
0.0617654,0.263985,0.197658,0.256875
0.0617418,0.263943,0.197485,0.257916
0.0617181,0.2639,0.197316,0.258994
0.0616946,0.263858,0.197144,0.260085
0.061671,0.263816,0.196976,0.261161
0.0616475,0.263773,0.196809,0.255934
0.061624,0.263731,0.196643,0.25568
0.0616006,0.263689,0.196681,0.25543
0.0615772,0.263647,0.195774,0.255177
0.0615538,0.263605,0.194954,0.254954
0.0614528,0.263563,0.193855,0.254786
0.0614319,0.263521,0.192745,0.254704
0.0614078,0.263479,0.191664,0.254726
0.0613841,0.263438,0.190615,0.254791
0.0613594,0.263396,0.189584,0.254862
0.0613359,0.263354,0.188567,0.254912
0.0613122,0.263312,0.187572,0.254932
0.0612889,0.263271,0.186607,0.254912
0.0612656,0.263229,0.185672,0.254867
0.0612423,0.263188,0.185659,0.254866
0.0612188,0.263146,0.185479,0.254835
0.0611955,0.263105,0.185315,0.260818
0.0611722,0.263063,0.184354,0.260904
0.061149,0.263022,0.183805,0.261239
0.0611259,0.26298,0.183635,0.262897
0.061103,0.262939,0.183469,0.264828
0.0610801,0.262897,0.183107,0.266495
0.0610574,0.262856,0.182135,0.267811
0.0610347,0.262815,0.181837,0.268829
0.0610121,0.262774,0.181689,0.269585
0.0609895,0.262733,0.181547,0.270162
0.0609669,0.262691,0.181407,0.270614
0.0609444,0.26265,0.18127,0.270986
0.0609218,0.262609,0.181133,0.271288
0.0608993,0.262568,0.180998,0.271538
0.0608767,0.262527,0.18086,0.271739
0.0607389,0.262486,0.181136,0.271888
0.0607113,0.262446,0.180987,0.271975
0.0606865,0.262405,0.18085,0.271995
0.0606624,0.262364,0.180709,0.271948
0.0606385,0.262324,0.180576,0.271174
0.0606134,0.262283,0.179485,0.270934
0.0605885,0.262243,0.178387,0.27064
0.0605637,0.262202,0.177512,0.270289
0.0605394,0.262162,0.177369,0.269884
0.0605159,0.262122,0.177228,0.269419
0.0604933,0.262082,0.177092,0.268893
0.0604712,0.262041,0.176697,0.268316
0.0601281,0.262001,0.176569,0.26769
0.0597897,0.261961,0.176435,0.267026
0.0594547,0.261921,0.176299,0.266332
0.0591229,0.261882,0.176162,0.265613
0.0587929,0.261842,0.176029,0.26487
0.0584624,0.261802,0.175895,0.264102
0.0581295,0.261763,0.175764,0.26331
0.0577929,0.261723,0.175634,0.262488
0.0575633,0.261684,0.175506,0.262567
0.0575442,0.261644,0.17538,0.262678
0.0575251,0.261605,0.175256,0.262719
0.0575058,0.261566,0.175132,0.262702
0.0574863,0.261527,0.175008,0.262656
0.0574666,0.261488,0.174884,0.262314
0.0574467,0.261449,0.17476,0.262082
0.0574266,0.26141,0.174635,0.261843
0.0574064,0.261371,0.174512,0.261593
0.057386,0.261345,0.174385,0.261348
0.0573652,0.2613,0.174258,0.261111
0.0573442,0.261256,0.174235,0.260874
