Auxin,WOX5,Type,Induction,Divisions
64,0.8,0.001,10,0
64,0.8,1,0,6
64,0.8,100,0,0
64,0.8,100,1,0
64,0.8,100,10,0
64,0.8,1,1,6
64,0.8,1,10,6
64,1,0.001,0,6
64,1,0.001,1,6
64,1,0.001,10,6
64,1,1,0,6
64,1,100,0,0
64,1,100,1,0
64,1,100,10,0
64,1,1,1,6
64,1,1,10,6
73,0,0.001,0,0
73,0,0.001,1,0
73,0,0.001,10,0
73,0,1,0,0
73,0,100,0,6
73,0,100,1,6
73,0,100,10,6
73,0,1,1,0
73,0,1,10,0
73,0.2,0.001,0,2
73,0.2,0.001,1,2
73,0.2,0.001,10,0
73,0.2,1,0,0
73,0.2,100,0,6
73,0.2,100,1,6
73,0.2,100,10,6
73,0.2,1,1,0
73,0.2,1,10,0
73,0.4,0.001,0,6
73,0.4,0.001,1,6
73,0.4,0.001,10,6
73,0.4,1,0,6
73,0.4,100,0,0
73,0.4,100,1,0
73,0.4,100,10,2
73,0.4,1,1,6
73,0.4,1,10,6
73,0.6,0.001,0,6
73,0.6,0.001,1,6
73,0.6,0.001,10,6
73,0.6,1,0,6
73,0.6,100,0,0
73,0.6,100,1,0
73,0.6,100,10,0
73,0.6,1,1,6
73,0.6,1,10,6
73,0.8,0.001,0,6
73,0.8,0.001,1,6
73,0.8,0.001,10,6
73,0.8,1,0,0
73,0.8,100,0,0
73,0.8,100,1,0
73,0.8,100,10,0
73,0.8,1,1,0
73,0.8,1,10,0
73,1,0.001,0,6
73,1,0.001,1,6
73,1,0.001,10,6
73,1,1,0,6
73,1,100,0,0
73,1,100,1,0
73,1,100,10,0
73,1,1,1,6
73,1,1,10,6
82,0,0.001,0,0
82,0,0.001,1,0
82,0,0.001,10,0
82,0,1,0,0
82,0,100,0,6
82,0,100,1,6
82,0,100,10,6
82,0,1,1,0
82,0,1,10,0
82,0.2,0.001,0,2
82,0.2,0.001,1,0
82,0.2,0.001,10,0
82,0.2,1,0,0
82,0.2,100,0,6
82,0.2,100,1,6
82,0.2,100,10,6
82,0.2,1,1,0
82,0.2,1,10,0
82,0.4,0.001,0,6
82,0.4,0.001,1,6
82,0.4,0.001,10,6
82,0.4,1,0,6
82,0.4,100,0,0
82,0.4,100,1,0
82,0.4,100,10,2
82,0.4,1,1,6
82,0.4,1,10,6
82,0.6,0.001,0,6
82,0.6,0.001,1,6
82,0.6,0.001,10,6
82,0.6,1,0,6
82,0.6,100,0,0
82,0.6,100,1,0
82,0.6,100,10,0
82,0.6,1,1,6
82,0.6,1,10,6
82,0.8,0.001,0,6
82,0.8,0.001,1,6
82,0.8,0.001,10,6
82,0.8,1,0,6
82,0.8,100,0,0
82,0.8,100,1,0
82,0.8,100,10,0
82,0.8,1,1,6
82,0.8,1,10,6
82,1,0.001,0,6
82,1,0.001,1,6
82,1,0.001,10,6
82,1,1,0,6
82,1,100,0,0
82,1,100,1,0
82,1,100,10,0
82,1,1,1,6
82,1,1,10,6
91,0,0.001,0,0
91,0,0.001,1,0
91,0,0.001,10,0
91,0,1,0,0
91,0,100,0,6
91,0,100,1,6
91,0,100,10,6
91,0,1,1,0
91,0,1,10,0
91,0.2,0.001,0,2
91,0.2,0.001,1,2
91,0.2,0.001,10,0
91,0.2,1,0,0
91,0.2,100,0,6
91,0.2,100,1,6
91,0.2,100,10,6
91,0.2,1,1,2
91,0.2,1,10,0
91,0.4,0.001,0,6
91,0.4,0.001,1,6
91,0.4,0.001,10,6
91,0.4,1,0,6
91,0.4,100,0,0
91,0.4,100,1,0
91,0.4,100,10,2
91,0.4,1,1,6
91,0.4,1,10,6
91,0.6,0.001,0,6
91,0.6,0.001,1,6
91,0.6,0.001,10,6
91,0.6,1,0,6
91,0.6,100,0,0
91,0.6,100,1,0
91,0.6,100,10,0
91,0.6,1,1,6
91,0.6,1,10,6
